Staff Number,Rank,Supervisor ID,Coordinator ID,FKGL,FRE,GFI,CLI,Completion_Rate,Assessment_Scores,VTRAC_Usage(hrs),Cluster
-1.1861694307699484,1.3414342333951308,-1.1861694307699484,-1.1861694307699484,-1.559639488700678,1.4277755531747027,-0.8166854280211387,-2.498555208928527,-1.4723278894081089,-1.1711833289270213,-0.37145000703377307,0
-1.1698894679322431,1.3414342333951308,-1.1698894679322431,-1.1698894679322431,-0.839629012404157,0.7597059561005367,-0.7294807566582305,-0.9296818427473489,-0.8188622965208712,-0.3828293643089392,0.05145499470368625,0
-1.1484137722739938,-1.3360717139732032,-1.1484137722739938,-1.1484137722739938,0.20810958199650237,0.10597175510068513,0.4175276248396145,0.6152861414991243,-1.4379349634666754,-1.1026308102645794,-1.0250304642643924,0
-1.1387150710089777,0.4489322509390194,-1.1387150710089777,-1.1387150710089777,-1.5000629499972178,1.4053445031902412,-0.7730830923396848,-1.905267093639945,0.45367596331217064,-1.2054595882582424,1.4739536369115047,0
-1.125552547863599,1.3414342333951308,-1.125552547863599,-1.125552547863599,-1.5000629499972178,1.4053445031902412,-0.7730830923396848,-0.738533274945342,-0.750076444638004,-0.21144806765283444,0.01300908545482644,0
-1.116892993162692,0.4489322509390194,-1.116892993162692,-1.116892993162692,-0.9608188945530768,0.9641268549737096,-0.6422760852953223,-0.6159071695111138,-1.2659703337595076,0.06276200699693327,0.16679272245026638,0
-1.1016521768890957,1.3414342333951308,-1.1016521768890957,-1.1016521768890957,-0.2818839805535286,0.4173838238253514,0.016603653891095835,0.43591703725914555,1.451070815613744,-1.2397358475894633,0.20523863169912618,0
-1.100959412513023,1.3414342333951308,-1.100959412513023,-1.100959412513023,-0.24131761944205524,0.3359469576256055,0.033560117767217026,0.8002457665472845,0.9695698524336741,-1.7196034782265568,0.16679272245026638,0
-1.098534737196769,1.3414342333951308,-1.098534737196769,-1.098534737196769,-0.9302668234230973,0.8930767803923851,-0.6858784209767764,-0.7335726719747018,-0.5781118149308363,-0.622763179627486,0.7434813611831657,0
-1.0929926221881885,1.3414342333951308,-1.0929926221881885,-1.0929926221881885,-1.559639488700678,1.4277755531747027,-0.8166854280211387,-2.498555208928527,-1.2659703337595076,-1.6510509595641147,-0.33300409778491324,0
-1.0929926221881885,1.3414342333951308,-1.0929926221881885,-1.0929926221881885,-1.1097602413117276,1.0202044799348642,-0.7512819244989576,-0.8532224156265467,1.451070815613744,0.6454584156276896,-0.25611227928719327,0
-1.0874505071796081,-0.44356973151709195,-1.0874505071796081,-1.0874505071796081,0.12072442344820332,-0.15764663981572816,0.22977062833376055,0.4341532673140287,-1.5411137412909761,-0.8969732542772537,-0.1407745515406135,0
-1.0826011565471,-1.3360717139732032,-1.0826011565471,-1.0826011565471,0.12072442344820332,-0.15764663981572816,0.22977062833376055,0.4341532673140287,-1.2659703337595076,-1.4111171442455681,-1.2941518290064118,0
-1.0780981881026284,-0.44356973151709195,-1.0780981881026284,-1.0780981881026284,-1.5000629499972178,1.4053445031902412,-0.7730830923396848,-0.738533274945342,0.0065679260735342975,-1.3082883662519051,1.051048635174045,0
